Bike ID,Gender,Birth Year,Age,Trip Duration,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,Start Time,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Stop Time
29575,Female,1976,43,602,3203,Hamilton Park,40.72759597,-74.04424731,34:13.6,3186,Grove St PATH,40.71958612,-74.04311746,44:16.1
26271,Male,1988,31,985,3694,Jackson Square,40.71113,-74.0789,35:41.0,3186,Grove St PATH,40.71958612,-74.04311746,52:06.7
26304,Male,1962,57,1860,3640,Journal Square,40.73367,-74.0625,36:55.1,3640,Journal Square,40.73367,-74.0625,07:55.8
29274,Male,1981,38,365,3184,Paulus Hook,40.7141454,-74.0335519,42:33.3,3186,Grove St PATH,40.71958612,-74.04311746,48:39.1
26306,Male,1980,39,358,3184,Paulus Hook,40.7141454,-74.0335519,42:34.5,3186,Grove St PATH,40.71958612,-74.04311746,48:33.2
29278,Female,1981,38,639,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,45:04.3,3192,Liberty Light Rail,40.7112423,-74.0557013,55:43.4
26198,Unknown,1969,50,410,3194,McGinley Square,40.72533993,-74.06762213,47:18.1,3195,Sip Ave,40.7308971,-74.06391263,54:08.3
29542,Male,1992,27,326,3638,Washington St,40.7242941,-74.0354826,48:05.7,3272,Jersey & 3rd,40.72333159,-74.04595256,53:32.2
26305,Male,1988,31,352,3184,Paulus Hook,40.7141454,-74.0335519,48:35.8,3639,Harborside,40.7192517,-74.034234,54:28.6
26225,Male,1994,25,353,3195,Sip Ave,40.7308971,-74.06391263,49:52.2,3207,Oakland Ave,40.7376037,-74.0524783,55:45.5
29669,Female,1983,36,255,3199,Newport Pkwy,40.7287448,-74.0321082,52:53.6,3187,Warren St,40.7211236,-74.03805095,57:09.4
29487,Male,1981,38,156,3214,Essex Light Rail,40.7127742,-74.0364857,53:55.0,3276,Marin Light Rail,40.71458404,-74.04281706,56:31.2
29254,Male,1993,26,491,3210,Pershing Field,40.74267714,-74.05178863,54:53.3,3640,Journal Square,40.73367,-74.0625,03:04.7
26199,Male,1989,30,295,3186,Grove St PATH,40.71958612,-74.04311746,54:55.6,3278,Monmouth and 6th,40.72568548,-74.04879034,59:51.2
29288,Male,1990,29,2279,3276,Marin Light Rail,40.71458404,-74.04281706,55:43.1,3276,Marin Light Rail,40.71458404,-74.04281706,33:42.5
29912,Male,1958,61,648,3638,Washington St,40.7242941,-74.0354826,55:45.3,3214,Essex Light Rail,40.7127742,-74.0364857,06:34.2
29613,Male,1977,42,824,3694,Jackson Square,40.71113,-74.0789,58:27.3,3186,Grove St PATH,40.71958612,-74.04311746,12:12.1
26190,Male,1976,43,387,3638,Washington St,40.7242941,-74.0354826,58:31.0,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,04:58.6
29591,Female,1969,50,161,3638,Washington St,40.7242941,-74.0354826,59:23.9,3187,Warren St,40.7211236,-74.03805095,02:05.4
29673,Male,1988,31,360,3280,Astor Place,40.7192822,-74.07126188,00:50.3,3195,Sip Ave,40.7308971,-74.06391263,06:50.5
29298,Male,1988,31,223,3639,Harborside,40.7192517,-74.034234,01:44.5,3638,Washington St,40.7242941,-74.0354826,05:28.3
26226,Male,1969,50,451,3184,Paulus Hook,40.7141454,-74.0335519,02:49.1,3638,Washington St,40.7242941,-74.0354826,10:20.6
29476,Female,1985,34,298,3279,Dixon Mills,40.72163014,-74.04996783,04:05.2,3203,Hamilton Park,40.72759597,-74.04424731,09:04.1
26230,Male,1963,56,1145,3184,Paulus Hook,40.7141454,-74.0335519,04:33.2,3199,Newport Pkwy,40.7287448,-74.0321082,23:38.4
29541,Male,1977,42,1148,3184,Paulus Hook,40.7141454,-74.0335519,04:36.3,3199,Newport Pkwy,40.7287448,-74.0321082,23:44.8
26214,Male,1967,52,634,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,04:40.4,3272,Jersey & 3rd,40.72333159,-74.04595256,15:15.0
29634,Male,1988,31,326,3202,Newport PATH,40.7272235,-74.0337589,08:25.1,3275,Columbus Drive,40.7183552,-74.03891444,13:51.1
26312,Male,1985,34,927,3195,Sip Ave,40.7308971,-74.06391263,08:52.0,3187,Warren St,40.7211236,-74.03805095,24:19.4
29470,Female,1983,36,287,3638,Washington St,40.7242941,-74.0354826,08:58.7,3199,Newport Pkwy,40.7287448,-74.0321082,13:46.4
29203,Male,1986,33,184,3214,Essex Light Rail,40.7127742,-74.0364857,11:32.2,3276,Marin Light Rail,40.71458404,-74.04281706,14:37.2
29612,Male,1978,41,224,3201,Dey St,40.737711,-74.066921,11:33.4,3640,Journal Square,40.73367,-74.0625,15:17.7
29476,Male,1958,61,349,3203,Hamilton Park,40.72759597,-74.04424731,12:09.2,3186,Grove St PATH,40.71958612,-74.04311746,17:58.3
29458,Male,1961,58,1275,3199,Newport Pkwy,40.7287448,-74.0321082,13:06.1,3267,Morris Canal,40.71241882,-74.03852552,34:22.1
26172,Female,1961,58,1248,3199,Newport Pkwy,40.7287448,-74.0321082,13:25.6,3267,Morris Canal,40.71241882,-74.03852552,34:13.8
26191,Male,1964,55,220,3194,McGinley Square,40.72533993,-74.06762213,13:39.6,3195,Sip Ave,40.7308971,-74.06391263,17:20.3
28242,Unknown,1969,50,7631,3639,Harborside,40.7192517,-74.034234,14:47.3,3639,Harborside,40.7192517,-74.034234,21:58.7
29504,Male,1984,35,268,3209,Brunswick St,40.7241765,-74.0506564,16:28.0,3186,Grove St PATH,40.71958612,-74.04311746,20:56.2
29613,Male,1951,68,218,3186,Grove St PATH,40.71958612,-74.04311746,16:46.0,3272,Jersey & 3rd,40.72333159,-74.04595256,20:24.8
26271,Female,1984,35,77,3186,Grove St PATH,40.71958612,-74.04311746,16:50.2,3185,City Hall,40.7177325,-74.043845,18:08.0
29620,Male,1988,31,331,3639,Harborside,40.7192517,-74.034234,17:48.1,3272,Jersey & 3rd,40.72333159,-74.04595256,23:19.4
29527,Male,1991,28,377,3268,Lafayette Park,40.71346383,-74.06285852,18:07.0,3185,City Hall,40.7177325,-74.043845,24:24.7
26286,Male,1975,44,1636,3638,Washington St,40.7242941,-74.0354826,18:21.5,3638,Washington St,40.7242941,-74.0354826,45:38.1
26278,Male,2000,19,230,3677,Glenwood Ave,40.72755147,-74.07106072,18:29.3,3194,McGinley Square,40.72533993,-74.06762213,22:19.6
26158,Female,1983,36,299,3187,Warren St,40.7211236,-74.03805095,18:31.7,3199,Newport Pkwy,40.7287448,-74.0321082,23:30.8
29483,Unknown,1987,32,478,3184,Paulus Hook,40.7141454,-74.0335519,19:27.8,3275,Columbus Drive,40.7183552,-74.03891444,27:26.1
29298,Male,1988,31,2630,3638,Washington St,40.7242941,-74.0354826,21:02.2,3280,Astor Place,40.7192822,-74.07126188,04:53.1
26250,Male,1960,59,329,3279,Dixon Mills,40.72163014,-74.04996783,21:11.0,3681,Grand St,40.71517768,-74.03768331,26:40.2
29634,Male,1975,44,480,3275,Columbus Drive,40.7183552,-74.03891444,21:25.8,3275,Columbus Drive,40.7183552,-74.03891444,29:26.6
26243,Male,1987,32,373,3267,Morris Canal,40.71241882,-74.03852552,21:35.0,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,27:48.5
29671,Male,1998,21,1143,3202,Newport PATH,40.7272235,-74.0337589,25:39.6,3276,Marin Light Rail,40.71458404,-74.04281706,44:42.8
29672,Male,1977,42,293,3194,McGinley Square,40.72533993,-74.06762213,27:45.3,3640,Journal Square,40.73367,-74.0625,32:38.6
26262,Male,1985,34,103,3184,Paulus Hook,40.7141454,-74.0335519,27:47.5,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,29:31.1
29466,Male,1990,29,285,3639,Harborside,40.7192517,-74.034234,29:00.9,3202,Newport PATH,40.7272235,-74.0337589,33:46.1
29555,Male,1988,31,362,3272,Jersey & 3rd,40.72333159,-74.04595256,29:11.6,3202,Newport PATH,40.7272235,-74.0337589,35:13.7
29479,Male,1988,31,483,3202,Newport PATH,40.7272235,-74.0337589,30:03.0,3272,Jersey & 3rd,40.72333159,-74.04595256,38:06.3
26246,Male,1984,35,277,3273,Manila & 1st,40.72165072,-74.04288411,30:29.2,3278,Monmouth and 6th,40.72568548,-74.04879034,35:07.2
26183,Male,1973,46,1313,3638,Washington St,40.7242941,-74.0354826,30:36.8,3202,Newport PATH,40.7272235,-74.0337589,52:29.8
26152,Male,1968,51,544,3213,Van Vorst Park,40.71848892,-74.04772663,30:47.7,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,39:51.7
29260,Male,1983,36,936,3220,5 Corners Library,40.73496102,-74.05950308,31:30.6,3481,York St,40.71649,-74.04105,47:07.0
29608,Male,1987,32,676,3639,Harborside,40.7192517,-74.034234,31:44.1,3639,Harborside,40.7192517,-74.034234,43:00.8
29476,Female,1980,39,236,3186,Grove St PATH,40.71958612,-74.04311746,35:42.5,3481,York St,40.71649,-74.04105,39:39.0
29257,Female,1986,33,302,3276,Marin Light Rail,40.71458404,-74.04281706,38:56.4,3186,Grove St PATH,40.71958612,-74.04311746,43:59.0
29528,Male,1958,61,137,3483,Montgomery St,40.71942,-74.05099,40:20.6,3213,Van Vorst Park,40.71848892,-74.04772663,42:37.9
29644,Male,1969,50,569,3184,Paulus Hook,40.7141454,-74.0335519,40:39.0,3203,Hamilton Park,40.72759597,-74.04424731,50:08.1
26292,Male,1996,23,239,3279,Dixon Mills,40.72163014,-74.04996783,41:27.3,3186,Grove St PATH,40.71958612,-74.04311746,45:26.7
26316,Male,1989,30,1012,3201,Dey St,40.737711,-74.066921,41:31.0,3639,Harborside,40.7192517,-74.034234,58:23.4
26250,Male,1960,59,404,3681,Grand St,40.71517768,-74.03768331,41:57.8,3272,Jersey & 3rd,40.72333159,-74.04595256,48:42.4
29278,Male,1995,24,1045,3192,Liberty Light Rail,40.7112423,-74.0557013,42:04.4,3186,Grove St PATH,40.71958612,-74.04311746,59:29.9
29230,Female,1992,27,900,3187,Warren St,40.7211236,-74.03805095,42:43.8,3278,Monmouth and 6th,40.72568548,-74.04879034,57:44.7
37987,Male,1970,49,226,3209,Brunswick St,40.7241765,-74.0506564,44:48.6,3209,Brunswick St,40.7241765,-74.0506564,48:35.4
29300,Male,1983,36,100,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,47:52.8,3639,Harborside,40.7192517,-74.034234,49:33.0
29528,Male,1964,55,206,3213,Van Vorst Park,40.71848892,-74.04772663,48:43.7,3186,Grove St PATH,40.71958612,-74.04311746,52:09.9
26230,Unknown,1969,50,591,3199,Newport Pkwy,40.7287448,-74.0321082,49:05.7,3187,Warren St,40.7211236,-74.03805095,58:56.8
29539,Male,1971,48,415,3638,Washington St,40.7242941,-74.0354826,49:28.9,3186,Grove St PATH,40.71958612,-74.04311746,56:24.6
29541,Unknown,1969,50,522,3199,Newport Pkwy,40.7287448,-74.0321082,49:42.2,3187,Warren St,40.7211236,-74.03805095,58:24.3
29487,Male,1998,21,448,3276,Marin Light Rail,40.71458404,-74.04281706,53:05.9,3186,Grove St PATH,40.71958612,-74.04311746,00:34.9
29497,Female,1977,42,225,3270,Jersey & 6th St,40.72528911,-74.04557168,53:14.4,3186,Grove St PATH,40.71958612,-74.04311746,57:00.0
29644,Female,1985,34,1187,3203,Hamilton Park,40.72759597,-74.04424731,53:15.1,3639,Harborside,40.7192517,-74.034234,13:02.8
26280,Male,1986,33,308,3639,Harborside,40.7192517,-74.034234,54:31.5,3211,Newark Ave,40.72152515,-74.04630454,59:40.4
29495,Male,1975,44,123,3211,Newark Ave,40.72152515,-74.04630454,56:26.6,3270,Jersey & 6th St,40.72528911,-74.04557168,58:29.7
29299,Male,1989,30,252,3681,Grand St,40.71517768,-74.03768331,59:13.8,3211,Newark Ave,40.72152515,-74.04630454,03:26.0
29527,Male,1991,28,487,3185,City Hall,40.7177325,-74.043845,01:23.0,3203,Hamilton Park,40.72759597,-74.04424731,09:30.9
29483,Male,1988,31,275,3275,Columbus Drive,40.7183552,-74.03891444,02:05.6,3202,Newport PATH,40.7272235,-74.0337589,06:41.3
26230,Unknown,1969,50,651,3187,Warren St,40.7211236,-74.03805095,03:09.5,3279,Dixon Mills,40.72163014,-74.04996783,14:01.2
29528,Male,1981,38,354,3186,Grove St PATH,40.71958612,-74.04311746,03:42.7,3184,Paulus Hook,40.7141454,-74.0335519,09:37.4
29487,Male,1980,39,355,3186,Grove St PATH,40.71958612,-74.04311746,03:47.8,3184,Paulus Hook,40.7141454,-74.0335519,09:43.6
26250,Male,1960,59,227,3272,Jersey & 3rd,40.72333159,-74.04595256,03:51.2,3279,Dixon Mills,40.72163014,-74.04996783,07:39.1
29662,Unknown,1969,50,579,3187,Warren St,40.7211236,-74.03805095,04:13.3,3279,Dixon Mills,40.72163014,-74.04996783,13:53.0
26189,Male,1993,26,342,3639,Harborside,40.7192517,-74.034234,04:32.6,3270,Jersey & 6th St,40.72528911,-74.04557168,10:15.6
26226,Male,1978,41,296,3638,Washington St,40.7242941,-74.0354826,06:13.2,3681,Grand St,40.71517768,-74.03768331,11:10.2
29504,Male,1990,29,276,3186,Grove St PATH,40.71958612,-74.04311746,06:15.0,3213,Van Vorst Park,40.71848892,-74.04772663,10:51.6
29241,Male,1989,30,2623,3184,Paulus Hook,40.7141454,-74.0335519,07:10.8,3184,Paulus Hook,40.7141454,-74.0335519,50:54.0
26278,Female,1987,32,1672,3194,McGinley Square,40.72533993,-74.06762213,07:49.9,3198,Heights Elevator,40.74871595,-74.0404433,35:42.5
29500,Unknown,1969,50,512,3186,Grove St PATH,40.71958612,-74.04311746,07:59.7,3267,Morris Canal,40.71241882,-74.03852552,16:31.8
29275,Male,1993,26,87,3202,Newport PATH,40.7272235,-74.0337589,09:02.3,3638,Washington St,40.7242941,-74.0354826,10:29.7
29608,Male,1983,36,109,3639,Harborside,40.7192517,-74.034234,09:33.1,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,11:22.7
29288,Male,1986,33,266,3276,Marin Light Rail,40.71458404,-74.04281706,09:46.0,3184,Paulus Hook,40.7141454,-74.0335519,14:12.4
26280,Male,1988,31,241,3211,Newark Ave,40.72152515,-74.04630454,10:45.3,3275,Columbus Drive,40.7183552,-74.03891444,14:46.8
29203,Male,1982,37,207,3276,Marin Light Rail,40.71458404,-74.04281706,11:09.8,3214,Essex Light Rail,40.7127742,-74.0364857,14:37.6
29470,Unknown,1969,50,7790,3199,Newport Pkwy,40.7287448,-74.0321082,11:48.7,3196,Riverview Park,40.7443187,-74.0439909,21:38.7
29682,Male,1981,38,632,3639,Harborside,40.7192517,-74.034234,12:34.9,3278,Monmouth and 6th,40.72568548,-74.04879034,23:07.6
29295,Male,1979,40,484,3638,Washington St,40.7242941,-74.0354826,14:48.6,3213,Van Vorst Park,40.71848892,-74.04772663,22:53.0
29200,Female,1992,27,189,3184,Paulus Hook,40.7141454,-74.0335519,15:11.5,3267,Morris Canal,40.71241882,-74.03852552,18:21.0
29644,Female,1985,34,1042,3639,Harborside,40.7192517,-74.034234,15:29.1,3276,Marin Light Rail,40.71458404,-74.04281706,32:51.2
29539,Female,1970,49,282,3186,Grove St PATH,40.71958612,-74.04311746,16:49.1,3276,Marin Light Rail,40.71458404,-74.04281706,21:31.6
29619,Female,1990,29,826,3193,Lincoln Park,40.7246051,-74.07840595,17:30.5,3195,Sip Ave,40.7308971,-74.06391263,31:17.3
29446,Female,1993,26,378,3639,Harborside,40.7192517,-74.034234,17:30.6,3639,Harborside,40.7192517,-74.034234,23:49.1
26191,Male,1967,52,567,3195,Sip Ave,40.7308971,-74.06391263,17:33.7,3193,Lincoln Park,40.7246051,-74.07840595,27:01.7
29647,Male,1988,31,328,3272,Jersey & 3rd,40.72333159,-74.04595256,17:40.4,3639,Harborside,40.7192517,-74.034234,23:08.7
29290,Male,1986,33,877,3639,Harborside,40.7192517,-74.034234,17:44.4,3483,Montgomery St,40.71942,-74.05099,32:21.6
26230,Unknown,1969,50,1078,3279,Dixon Mills,40.72163014,-74.04996783,19:37.6,3638,Washington St,40.7242941,-74.0354826,37:35.7
29662,Unknown,1969,50,1051,3279,Dixon Mills,40.72163014,-74.04996783,19:53.6,3638,Washington St,40.7242941,-74.0354826,37:24.8
29608,Male,1985,34,910,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,23:33.6,3198,Heights Elevator,40.74871595,-74.0404433,38:44.5
26189,Female,1977,42,636,3270,Jersey & 6th St,40.72528911,-74.04557168,23:56.5,3184,Paulus Hook,40.7141454,-74.0335519,34:33.3
29250,Male,1958,61,286,3214,Essex Light Rail,40.7127742,-74.0364857,25:18.0,3638,Washington St,40.7242941,-74.0354826,30:04.1
29263,Female,1979,40,302,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,25:22.4,3214,Essex Light Rail,40.7127742,-74.0364857,30:25.2
29300,Male,1949,70,126,3639,Harborside,40.7192517,-74.034234,32:03.0,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,34:09.0
29267,Male,1992,27,429,3640,Journal Square,40.73367,-74.0625,33:27.5,3281,Leonard Gordon Park,40.74590997,-74.05727148,40:37.1
29504,Male,1990,29,145,3213,Van Vorst Park,40.71848892,-74.04772663,36:56.4,3186,Grove St PATH,40.71958612,-74.04311746,39:22.3
26194,Male,1987,32,528,3202,Newport PATH,40.7272235,-74.0337589,36:58.0,3275,Columbus Drive,40.7183552,-74.03891444,45:46.1
29249,Female,1990,29,183,3639,Harborside,40.7192517,-74.034234,38:31.5,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,41:34.8
29528,Male,1972,47,851,3184,Paulus Hook,40.7141454,-74.0335519,39:09.7,3199,Newport Pkwy,40.7287448,-74.0321082,53:21.4
29465,Male,1957,62,653,3184,Paulus Hook,40.7141454,-74.0335519,39:23.5,3192,Liberty Light Rail,40.7112423,-74.0557013,50:17.3
29295,Male,1988,31,355,3213,Van Vorst Park,40.71848892,-74.04772663,40:19.2,3681,Grand St,40.71517768,-74.03768331,46:14.9
26233,Male,1957,62,355,3186,Grove St PATH,40.71958612,-74.04311746,43:33.5,3269,Brunswick & 6th,40.72601173,-74.05038893,49:29.1
29495,Male,1993,26,387,3270,Jersey & 6th St,40.72528911,-74.04557168,43:49.9,3639,Harborside,40.7192517,-74.034234,50:17.1
26214,Female,1983,36,609,3272,Jersey & 3rd,40.72333159,-74.04595256,44:49.0,3184,Paulus Hook,40.7141454,-74.0335519,54:58.0
26226,Male,1978,41,332,3681,Grand St,40.71517768,-74.03768331,45:58.4,3638,Washington St,40.7242941,-74.0354826,51:31.1
29539,Male,1981,38,174,3276,Marin Light Rail,40.71458404,-74.04281706,47:09.5,3214,Essex Light Rail,40.7127742,-74.0364857,50:04.5
29299,Unknown,1991,28,1377,3211,Newark Ave,40.72152515,-74.04630454,47:45.4,3638,Washington St,40.7242941,-74.0354826,10:43.2
26192,Male,2000,19,308,3194,McGinley Square,40.72533993,-74.06762213,48:05.0,3195,Sip Ave,40.7308971,-74.06391263,53:13.9
26172,Unknown,1969,50,486,3267,Morris Canal,40.71241882,-74.03852552,48:45.8,3267,Morris Canal,40.71241882,-74.03852552,56:52.2
26171,Male,1982,37,383,3639,Harborside,40.7192517,-74.034234,49:03.6,3202,Newport PATH,40.7272235,-74.0337589,55:26.6
26243,Male,1987,32,393,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,49:58.8,3267,Morris Canal,40.71241882,-74.03852552,56:32.2
26257,Male,1986,33,478,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,51:52.6,3279,Dixon Mills,40.72163014,-74.04996783,59:51.5
29258,Male,1979,40,390,3185,City Hall,40.7177325,-74.043845,52:00.0,3638,Washington St,40.7242941,-74.0354826,58:30.4
29612,Male,1975,44,1935,3640,Journal Square,40.73367,-74.0625,52:39.6,3280,Astor Place,40.7192822,-74.07126188,24:55.5
26152,Female,1986,33,237,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,52:56.1,3186,Grove St PATH,40.71958612,-74.04311746,56:53.8
29479,Male,1986,33,294,3272,Jersey & 3rd,40.72333159,-74.04595256,53:41.5,3639,Harborside,40.7192517,-74.034234,58:36.2
29500,Unknown,1969,50,540,3267,Morris Canal,40.71241882,-74.03852552,57:01.3,3186,Grove St PATH,40.71958612,-74.04311746,06:01.8
29254,Male,1987,32,430,3640,Journal Square,40.73367,-74.0625,57:10.6,3207,Oakland Ave,40.7376037,-74.0524783,04:20.8
37987,Female,1992,27,714,3209,Brunswick St,40.7241765,-74.0506564,58:10.3,3199,Newport Pkwy,40.7287448,-74.0321082,10:05.0
29589,Female,1991,28,1738,3694,Jackson Square,40.71113,-74.0789,58:44.4,3202,Newport PATH,40.7272235,-74.0337589,27:42.9
29220,Male,1998,21,599,3186,Grove St PATH,40.71958612,-74.04311746,01:32.7,3202,Newport PATH,40.7272235,-74.0337589,11:32.0
29623,Male,1990,29,1776,3225,Baldwin at Montgomery,40.7236589,-74.0641943,07:07.0,3225,Baldwin at Montgomery,40.7236589,-74.0641943,36:43.6
29240,Female,1989,30,518,3203,Hamilton Park,40.72759597,-74.04424731,08:34.8,3483,Montgomery St,40.71942,-74.05099,17:12.8
26152,Male,1984,35,1114,3186,Grove St PATH,40.71958612,-74.04311746,08:44.8,3186,Grove St PATH,40.71958612,-74.04311746,27:19.5
29522,Female,1989,30,1192,3198,Heights Elevator,40.74871595,-74.0404433,08:51.0,3199,Newport Pkwy,40.7287448,-74.0321082,28:43.5
