tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
4039,03:13.0,10:32.9,3481,York St,40.71649,-74.04105,3481,York St,40.71649,-74.04105,29601,Customer,1969,0
731,03:28.6,15:39.8,3483,Montgomery St,40.71942,-74.05099,3203,Hamilton Park,40.72759597,-74.04424731,29607,Subscriber,1977,1
735,04:05.6,16:21.5,3483,Montgomery St,40.71942,-74.05099,3203,Hamilton Park,40.72759597,-74.04424731,29627,Customer,1969,0
772,08:31.9,21:24.2,3678,Fairmount Ave,40.72572614,-74.07195926,3210,Pershing Field,40.74267714,-74.05178863,29472,Subscriber,1970,1
246,10:36.7,14:42.8,3483,Montgomery St,40.71942,-74.05099,3205,JC Medical Center,40.71653978,-74.04963791,29251,Subscriber,1988,2
857,12:41.6,26:59.1,3211,Newark Ave,40.72152515,-74.04630454,3206,Hilltop,40.7311689,-74.0575736,29479,Subscriber,1979,2
1761,16:59.1,46:21.0,3199,Newport Pkwy,40.7287448,-74.0321082,3638,Washington St,40.7242941,-74.0354826,29210,Customer,1978,1
284,18:34.9,23:19.8,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,26182,Subscriber,1991,1
329,20:26.0,25:55.3,3213,Van Vorst Park,40.71848892,-74.04772663,3273,Manila & 1st,40.72165072,-74.04288411,26187,Subscriber,1968,1
320,20:26.8,25:46.9,3639,Harborside,40.7192517,-74.034234,3276,Marin Light Rail,40.71458404,-74.04281706,29487,Subscriber,1980,2
1526,21:08.3,46:34.7,3199,Newport Pkwy,40.7287448,-74.0321082,3638,Washington St,40.7242941,-74.0354826,26251,Customer,1982,2
4076,23:25.4,31:22.3,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,26269,Customer,1991,2
1371,23:29.0,46:20.6,3186,Grove St PATH,40.71958612,-74.04311746,3638,Washington St,40.7242941,-74.0354826,26281,Customer,1989,2
3991,23:32.6,30:04.1,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,29200,Customer,1989,1
403,24:18.6,31:02.3,3280,Astor Place,40.7192822,-74.07126188,3195,Sip Ave,40.7308971,-74.06391263,26188,Subscriber,1984,1
1157,26:59.2,46:17.2,3186,Grove St PATH,40.71958612,-74.04311746,3638,Washington St,40.7242941,-74.0354826,26273,Customer,1989,2
647,28:26.7,39:14.5,3280,Astor Place,40.7192822,-74.07126188,3185,City Hall,40.7177325,-74.043845,29281,Subscriber,1981,1
1068,28:30.1,46:18.2,3186,Grove St PATH,40.71958612,-74.04311746,3638,Washington St,40.7242941,-74.0354826,29296,Customer,1989,2
442,29:11.8,36:34.4,3192,Liberty Light Rail,40.7112423,-74.0557013,3184,Paulus Hook,40.7141454,-74.0335519,26237,Subscriber,1975,1
1516,30:06.8,55:23.2,3639,Harborside,40.7192517,-74.034234,3199,Newport Pkwy,40.7287448,-74.0321082,29628,Subscriber,1989,1
356,30:25.0,36:21.7,3211,Newark Ave,40.72152515,-74.04630454,3681,Grand St,40.71517768,-74.03768331,29535,Subscriber,1987,1
574,31:12.6,40:47.2,3275,Columbus Drive,40.7183552,-74.03891444,3638,Washington St,40.7242941,-74.0354826,29671,Customer,1989,2
541,31:20.9,40:22.7,3275,Columbus Drive,40.7183552,-74.03891444,3638,Washington St,40.7242941,-74.0354826,29612,Customer,1985,1
644,31:38.7,42:23.2,3279,Dixon Mills,40.72163014,-74.04996783,3279,Dixon Mills,40.72163014,-74.04996783,29239,Subscriber,1985,1
3044,31:45.0,22:29.1,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,29629,Subscriber,1984,2
165,31:59.9,34:45.8,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3681,Grand St,40.71517768,-74.03768331,29522,Subscriber,1983,1
241,32:13.8,36:15.7,3213,Van Vorst Park,40.71848892,-74.04772663,3211,Newark Ave,40.72152515,-74.04630454,29533,Subscriber,1970,1
690,33:19.0,44:49.8,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3192,Liberty Light Rail,40.7112423,-74.0557013,29250,Subscriber,1981,1
2390,33:23.9,13:14.2,3269,Brunswick & 6th,40.72601173,-74.05038893,3269,Brunswick & 6th,40.72601173,-74.05038893,29552,Subscriber,1968,1
173,33:25.6,36:19.2,3276,Marin Light Rail,40.71458404,-74.04281706,3185,City Hall,40.7177325,-74.043845,26182,Subscriber,1983,1
397,33:46.0,40:23.0,3276,Marin Light Rail,40.71458404,-74.04281706,3184,Paulus Hook,40.7141454,-74.0335519,29487,Customer,1969,0
5627,34:25.1,08:12.5,3184,Paulus Hook,40.7141454,-74.0335519,3184,Paulus Hook,40.7141454,-74.0335519,29507,Customer,1995,1
5547,35:47.0,08:14.8,3184,Paulus Hook,40.7141454,-74.0335519,3184,Paulus Hook,40.7141454,-74.0335519,29595,Customer,1983,2
401,36:04.2,42:45.9,3639,Harborside,40.7192517,-74.034234,3199,Newport Pkwy,40.7287448,-74.0321082,29457,Subscriber,1988,2
1008,37:13.0,54:01.2,3199,Newport Pkwy,40.7287448,-74.0321082,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,29550,Customer,1992,1
